num_date_time,answer
1 2020-08-25 00,8289.046205489427
1 2020-08-25 01,8241.406046697499
1 2020-08-25 02,8231.738957599842
1 2020-08-25 03,8257.817866950125
1 2020-08-25 04,8255.405603824269
1 2020-08-25 05,8219.45576732028
1 2020-08-25 06,8166.564298706238
1 2020-08-25 07,8296.54249986353
1 2020-08-25 08,8200.06811751214
1 2020-08-25 09,8176.977468724937
1 2020-08-25 10,8178.951732284598
1 2020-08-25 11,8140.3821130523975
1 2020-08-25 12,8046.3963579497085
1 2020-08-25 13,8046.427514174712
1 2020-08-25 14,8073.722982646436
1 2020-08-25 15,8086.379679411096
1 2020-08-25 16,8052.455006209595
1 2020-08-25 17,8028.492375013621
1 2020-08-25 18,8168.077996401629
1 2020-08-25 19,8147.94077578877
1 2020-08-25 20,8167.84754038434
1 2020-08-25 21,8241.56989189816
1 2020-08-25 22,8280.893154945099
1 2020-08-25 23,8227.244863812206
1 2020-08-26 00,8324.728183128775
1 2020-08-26 01,8285.688862904055
1 2020-08-26 02,8262.389407784278
1 2020-08-26 03,8235.793685192724
1 2020-08-26 04,8245.628496819365
1 2020-08-26 05,8222.967315954178
1 2020-08-26 06,8211.68873609566
1 2020-08-26 07,8304.745735159862
1 2020-08-26 08,8268.344038808385
1 2020-08-26 09,8283.942984035115
1 2020-08-26 10,8276.486096206725
1 2020-08-26 11,8213.995472643603
1 2020-08-26 12,8213.79310722875
1 2020-08-26 13,8196.297043072213
1 2020-08-26 14,8171.709980448964
1 2020-08-26 15,8148.429277952629
1 2020-08-26 16,8126.335389665734
1 2020-08-26 17,8073.755736676452
1 2020-08-26 18,8060.783290402305
1 2020-08-26 19,8181.540728728553
1 2020-08-26 20,8255.471016106436
1 2020-08-26 21,8340.321086247965
1 2020-08-26 22,8423.840173567769
1 2020-08-26 23,8441.201092980644
1 2020-08-27 00,8423.470949636048
1 2020-08-27 01,8364.070519487728
1 2020-08-27 02,8302.693237698306
1 2020-08-27 03,8325.700515029715
1 2020-08-27 04,8229.685135461204
1 2020-08-27 05,8186.481621095962
1 2020-08-27 06,8105.624707648992
1 2020-08-27 07,8182.01647135648
1 2020-08-27 08,8251.865112486033
1 2020-08-27 09,8261.250506042692
1 2020-08-27 10,8282.69787711767
1 2020-08-27 11,8259.311600096895
1 2020-08-27 12,8207.038792234187
1 2020-08-27 13,8270.009494173546
1 2020-08-27 14,8277.127121282794
1 2020-08-27 15,8267.166748694026
1 2020-08-27 16,8253.10783193184
1 2020-08-27 17,8224.689792249534
1 2020-08-27 18,8230.760819778032
1 2020-08-27 19,8240.040046817401
1 2020-08-27 20,8333.465985747704
1 2020-08-27 21,8443.867776432195
1 2020-08-27 22,8490.226865674713
1 2020-08-27 23,8561.626309925086
1 2020-08-28 00,8640.184030524952
1 2020-08-28 01,8566.31634266034
1 2020-08-28 02,8473.619164928898
1 2020-08-28 03,8435.042148322344
1 2020-08-28 04,8342.038120874438
1 2020-08-28 05,8323.748821062023
1 2020-08-28 06,8271.756866725698
1 2020-08-28 07,8262.231612084273
1 2020-08-28 08,8368.91221666893
1 2020-08-28 09,8321.062692849655
1 2020-08-28 10,8357.853413100042
1 2020-08-28 11,8357.884960334943
1 2020-08-28 12,8294.55468396883
