num_date_time,answer
1 2020-08-25 00,8172.158303326036
1 2020-08-25 01,8158.565966681661
1 2020-08-25 02,8162.354845968161
1 2020-08-25 03,8150.168043287352
1 2020-08-25 04,8151.4414760122145
1 2020-08-25 05,8127.225226298053
1 2020-08-25 06,8122.426892083764
1 2020-08-25 07,7851.607243328937
1 2020-08-25 08,7847.348825613368
1 2020-08-25 09,7833.267772288269
1 2020-08-25 10,7781.187948192071
1 2020-08-25 11,7732.4145146140245
1 2020-08-25 12,7733.452987618026
1 2020-08-25 13,7746.977153312548
1 2020-08-25 14,7752.342641962934
1 2020-08-25 15,7755.524071838347
1 2020-08-25 16,7761.266680906734
1 2020-08-25 17,7771.48426563013
1 2020-08-25 18,7808.192705233148
1 2020-08-25 19,7868.774988834572
1 2020-08-25 20,7776.42804719548
1 2020-08-25 21,8208.475657021441
1 2020-08-25 22,8228.184410833972
1 2020-08-25 23,8231.625008516812
1 2020-08-26 00,8197.304510815466
1 2020-08-26 01,8165.776198765154
1 2020-08-26 02,8155.823793647507
1 2020-08-26 03,8142.114535704612
1 2020-08-26 04,8146.342664159867
1 2020-08-26 05,8117.899966663698
1 2020-08-26 06,8103.223159836245
1 2020-08-26 07,7850.54457671347
1 2020-08-26 08,7810.9281141458405
1 2020-08-26 09,7811.066969094771
1 2020-08-26 10,7786.529499620674
1 2020-08-26 11,7798.914436324989
1 2020-08-26 12,7777.613627703199
1 2020-08-26 13,7775.421434460826
1 2020-08-26 14,7777.1907993288205
1 2020-08-26 15,7780.8736211909345
1 2020-08-26 16,7784.692349547513
1 2020-08-26 17,7794.351128266616
1 2020-08-26 18,7812.464120311832
1 2020-08-26 19,7145.057014225612
1 2020-08-26 20,7115.301037544228
1 2020-08-26 21,7461.310558256042
1 2020-08-26 22,7459.282649065341
1 2020-08-26 23,7488.139181251415
1 2020-08-27 00,7481.327446177662
1 2020-08-27 01,7464.440263560857
1 2020-08-27 02,7436.2406722154155
1 2020-08-27 03,7418.6760390100535
1 2020-08-27 04,7398.633132386124
1 2020-08-27 05,7356.842182636814
1 2020-08-27 06,7337.097621329234
1 2020-08-27 07,7382.390847457969
1 2020-08-27 08,7080.868805084976
1 2020-08-27 09,7027.865052202889
1 2020-08-27 10,7011.4121270291125
1 2020-08-27 11,6993.080513754251
1 2020-08-27 12,6974.253579520299
1 2020-08-27 13,7087.829439226945
1 2020-08-27 14,7085.1438017698
